"R0000100","R0000600","R0006500","R0007900","R0173600","R0214700","R0214800","R0618500","R0648301","R0648343","R1207800","R2509800","T5256900","T5257400","T5344300","T5407500","T5619500","T5684500","T5734600","T5770700","T5770800","T5770900","T5771000","T5771200","T5774000"
1,20,8,8,5,3,2,-3,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,20,5,8,5,3,2,0,377,369,-4,1,4020,1,300,1,23000,-3,-2,4,-2,-3,1,1,1
3,17,10,12,5,3,2,-5,-4,-4,-4,-4,4320,2,50,1,29000,115000,20,2,79000,0,4,1,1
4,16,11,12,5,3,2,0,493,544,514,1,2630,4,-4,0,73000,112850,70,2,144600,0,4,1,1
5,19,12,12,1,3,1,0,735,674,1401,7,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,18,12,12,1,3,1,0,681,692,414,4,2710,1,30000,1,115000,95825,30,4,169010,0,2,1,1
7,14,12,12,1,3,1,0,477,532,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
8,20,9,6,6,3,2,0,428,681,-4,1,830,2,200,1,47000,172717,40,4,47000,0,1,1,1
9,15,12,10,1,3,1,0,536,532,501,2,10,4,-4,1,90000,679000,0,3,200000,0,1,1,1
10,18,12,12,6,3,2,0,463,403,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
11,19,12,12,1,3,1,0,565,585,1101,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
12,19,15,12,5,3,2,0,586,684,502,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
13,20,12,16,1,3,1,0,695,481,506,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
14,15,12,12,5,3,2,0,653,604,2204,4,800,2,-4,0,70000,1570800,0,1,72500,0,1,3,1
15,15,12,12,1,3,1,0,567,651,2207,3,-4,-4,-4,0,0,5526252,70,6,922631,0,1,1,1
16,20,12,12,5,3,2,0,510,489,1402,1,5700,2,1000,1,100000,-42000,20,2,107300,0,1,3,1
17,22,12,15,1,3,1,0,637,572,4901,1,6660,1,50,1,73000,7500,50,1,73000,0,1,3,1
18,21,12,16,1,3,1,0,643,653,506,1,4760,2,25,1,120000,381000,50,1,120050,0,4,3,1
19,21,10,12,5,3,2,0,-4,-4,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
20,19,12,18,5,3,2,0,528,485,910,4,300,2,250,1,127000,497000,10,2,213000,0,1,1,1
21,17,12,18,5,3,2,0,678,607,509,4,1810,4,-4,1,130000,5526252,30,2,230000,0,1,1,0
22,16,12,12,5,3,2,0,617,570,401,4,3630,4,-4,1,42200,423100,50,1,45200,0,1,3,0
23,20,12,12,1,3,1,0,639,664,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
24,18,12,12,1,3,1,0,515,599,-5,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
25,19,14,16,5,3,2,0,544,487,1205,1,3640,2,12,1,50000,1569506,40,2,172000,0,1,1,0
26,16,16,17,1,3,1,0,696,623,902,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
27,18,14,20,5,3,2,0,673,618,502,3,120,2,2,1,170166,5526252,30,3,922631,0,1,1,1
28,15,14,20,5,3,2,0,792,617,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
29,18,0,4,5,3,2,0,445,363,-4,1,-4,-4,-4,0,0,283700,100,2,36604,0,1,1,1
30,20,-2,6,5,3,2,0,421,360,0,1,-4,-4,-4,0,0,-3,20,3,0,1,-4,1,-4
31,15,9,3,4,1,1,-3,-4,-4,-4,1,3920,2,100,1,40000,167900,0,2,68000,0,4,1,1
32,21,12,12,8,1,2,-3,-4,-4,1303,5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
33,16,12,15,4,1,1,-5,-4,-4,-5,-5,-4,-4,-4,0,0,6,100,1,4176,1,1,0,1
34,20,13,12,1,3,1,0,350,403,-4,1,-4,-4,-4,0,0,333000,45,1,24000,0,1,3,0
35,15,12,12,5,3,2,0,486,539,502,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
36,16,14,12,1,3,1,-3,-4,-4,-4,1,6260,4,-4,1,0,16700,80,1,65000,0,1,3,1
37,20,12,12,5,3,2,0,497,532,-4,1,800,1,200,1,50000,1320000,10,2,180000,0,1,1,1
38,16,12,12,5,3,2,0,367,398,-4,1,430,1,4000,1,130000,558038,20,2,165040,0,1,1,1
39,20,12,12,1,3,1,0,472,432,-4,1,20,2,40,1,63000,137010,50,3,88000,0,3,1,1
40,19,10,12,2,3,1,-3,476,464,506,1,4620,1,1000,1,37600,791476,10,4,194600,0,1,1,0
41,16,10,12,2,3,1,0,536,552,-4,2,50,2,1000,1,170000,753000,30,4,177000,0,1,1,1
42,15,14,12,1,3,1,0,439,437,0,1,7210,2,200,1,62000,273000,0,4,121250,0,1,1,1
43,17,10,9,6,3,2,-3,401,385,-4,1,-4,-4,-4,0,0,-5000,80,5,26120,1,1,3,1
44,17,12,12,5,3,2,-3,486,499,-4,1,5860,2,47,1,43680,672500,10,2,223680,0,1,1,0
45,19,9,10,1,3,1,0,489,477,-4,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,16,12,12,5,3,2,0,536,542,1207,4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
47,20,12,16,1,3,1,0,551,572,-4,1,7310,2,1500,1,100000,692500,0,2,200660,0,1,1,0
48,20,12,12,2,3,1,-5,457,481,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
49,20,12,12,5,3,2,0,532,462,502,2,4920,4,-4,1,32880,825000,50,2,100506,0,1,1,1
50,20,9,10,5,3,2,0,544,526,514,1,5700,2,7,1,67000,188300,50,3,140000,0,1,1,1
51,16,9,12,1,3,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,20,12,14,1,3,1,0,615,511,910,-5,50,2,6,1,332954,685000,0,1,255000,0,3,3,1
53,15,-2,4,4,1,1,0,499,524,-4,1,-4,-4,-4,0,0,0,100,1,8730,1,4,0,1
54,20,3,5,1,3,1,0,-4,-4,-4,-4,6730,1,12,1,42000,13000,50,2,42000,0,1,1,1
55,20,12,12,1,3,1,-5,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,14,12,12,5,3,2,-3,523,595,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,20,12,12,5,3,2,-3,471,478,-4,1,2720,3,25,1,52000,166689,75,3,52000,0,1,3,1
58,22,12,17,5,3,2,0,571,668,1105,3,230,1,60,1,119840,739500,20,2,177532,0,1,1,1
59,20,-2,-2,1,3,1,-3,668,610,-4,1,8260,4,-4,1,45000,-3,0,2,-2,-3,1,1,1
